,ID,Salary,DOJ,DOL,Designation,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
0,203097,420000.0,2012-06-01,Present,Senior Quality Engineer,Bangalore,F,1990-02-19,84.3,"Board Ofsecondary Education,Ap",2007.0,95.8,"Board Of Intermediate Education,Ap",1141,2,B.Tech/B.E.,Computer Engineering,78.0,1141,0,Andhra Pradesh,2011,515,585,525,0.6359787565,445,-1,-1,-1,-1,-1,-1,0.9737,0.8128,0.5269,1.3549,-0.4455
1,579905,500000.0,2013-09-01,Present,Assistant Manager,Indore,M,1989-10-04,85.4,Cbse,2007.0,85.0,Cbse,5807,2,B.Tech/B.E.,Electronics And Communication Engineering,70.06,5807,0,Madhya Pradesh,2012,695,610,780,0.960603252,-1,466,-1,-1,-1,-1,-1,-0.7335,0.3789,1.2396,-0.1076,0.8637
2,810601,325000.0,2014-06-01,Present,Systems Engineer,Chennai,F,1992-08-03,85.0,Cbse,2010.0,68.2,Cbse,64,2,B.Tech/B.E.,Information Technology,70.0,64,0,Uttar Pradesh,2014,615,545,370,0.4508765845,395,-1,-1,-1,-1,-1,-1,0.2718,1.7109,0.1637,-0.8682,0.6721
4,343523,200000.0,2014-03-01,3/1/15 0:00,Get,Manesar,M,1991-02-27,78.0,Cbse,2008.0,76.8,Cbse,11368,2,B.Tech/B.E.,Electronics And Communication Engineering,73.9,11368,0,Uttar Pradesh,2012,545,625,465,0.124502074,-1,233,-1,-1,-1,-1,-1,-0.881,-0.2793,-1.0697,0.09163,-0.1295
5,1027655,300000.0,2014-06-01,Present,System Engineer,Hyderabad,M,1992-07-02,89.92,State Board,2010.0,87.0,State Board,5086,2,B.Tech/B.E.,Electronics And Communication Engineering,76.32,5086,0,Karnataka,2014,560,555,620,-1.0,645,-1,407,-1,-1,-1,-1,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608
6,947847,300000.0,2014-08-01,5/1/15 0:00,Java Software Engineer,Banglore,M,1993-02-01,86.08,State Board,2010.0,67.5,State Board,314,2,B.Tech/B.E.,Computer Science & Engineering,72.98,314,1,Karnataka,2014,590,435,380,0.3565364877,405,-1,346,-1,-1,-1,-1,1.7081,-0.1054,-1.0379,-2.0092,-1.0872
8,552574,600000.0,2013-07-01,Present,Electrical Engineer,Noida,M,1991-09-17,90.0,Cbse,2009.0,91.2,Cbse,13,1,B.Tech/B.E.,Electronics And Electrical Engineering,85.03,13,1,Delhi,2013,615,670,530,0.6944793277,735,366,-1,-1,-1,-1,-1,-0.159,0.5454,-0.6048,-0.7415,-0.2859
9,1203363,230000.0,2014-07-01,Present,Project Engineer,Kolkata,M,1993-06-13,77.0,Cbse,2010.0,72.2,Cbse,8640,2,B.Tech/B.E.,Electronics And Communication Engineering,78.0,8640,1,West Bengal,2014,605,565,545,0.4935963873,385,324,-1,-1,-1,-1,-1,-1.308,0.5454,-0.9122,0.9066,0.0973
10,87291,600000.0,2011-04-01,4/1/15 0:00,Senior Php Developer,Bangalore,M,1989-06-24,88.6,Mp Board Bhopal,2006.0,83.7,Mp Board,403,2,B.Tech/B.E.,Computer Engineering,74.9,403,0,Madhya Pradesh,2010,565,455,565,0.7656735812,485,-1,-1,-1,-1,-1,-1,0.0464,0.8128,0.0914,0.1798,0.0284
11,190393,450000.0,2011-08-01,10/1/14 0:00,Senior Systems Engineer,Pune,M,1990-02-10,81.0,Cbse,2007.0,86.0,Cbse,4441,1,B.Tech/B.E.,Information Technology,72.29,4441,0,Madhya Pradesh,2011,495,605,715,0.9682374959,605,-1,-1,-1,-1,-1,-1,-2.272,1.1248,0.8171,-0.4078,-0.4455
12,606655,270000.0,2013-12-01,Present,Quality Assurance Engineer,Pune,M,1990-11-21,83.6,State Board,2008.0,69.83,State Board,2665,2,B.Tech/B.E.,Electronics & Telecommunications,60.0,2665,0,Maharashtra,2013,380,580,470,0.2294817549,-1,266,-1,-1,-1,206,-1,0.1282,0.5454,-0.7585,-0.995,0.8637
13,431800,200000.0,2014-01-01,Present,Qa Analyst,Gurgaon,M,1990-10-23,60.8,Cbse,2008.0,62.4,Cbse,5232,2,B.Tech/B.E.,Electronics And Communication Engineering,60.0,5232,0,Haryana,2012,495,425,645,0.538386893,385,333,-1,-1,-1,-1,-1,0.3555,0.0328,-0.598,-0.2902,-1.2354
14,1279958,300000.0,2013-07-01,Present,Java Software Engineer,Bangalore,M,1992-07-02,81.2,State Board,2008.0,79.9,State Board,64,2,B.Tech/B.E.,Instrumentation And Control Engineering,67.67,64,0,Uttar Pradesh,2013,395,565,645,-1.0,495,-1,376,-1,-1,-1,-1,0.7027,0.7119,0.01,-0.995,0.6721
15,536517,350000.0,2013-08-01,Present,Network Engineer,-1,F,1990-01-17,69.54,Icse,2008.0,64.43,Isc,4501,2,B.Tech/B.E.,Information Technology,63.0,4501,0,Uttar Pradesh,2012,485,520,355,0.3084005829,355,-1,-1,-1,-1,-1,-1,1.7465,1.9048,0.672,-0.2902,1.2528
16,1087625,325000.0,2014-09-01,Present,Product Development Engineer,Noida,M,1992-06-10,85.8,Cbse,2010.0,74.8,Cbse,13473,2,B.Tech/B.E.,Electronics And Communication Engineering,64.8,13473,0,Uttar Pradesh,2014,685,530,620,-1.0,515,-1,-1,-1,-1,-1,-1,1.1336,1.0449,0.7785,-0.6147,-0.8608
17,874596,250000.0,2013-08-01,9/1/14 0:00,Associate Software Developer,Gurgaon,M,1987-09-28,60.8,Cbse,2006.0,66.66,Cbse,41,2,Mca,Computer Application,74.74,41,1,Delhi,2013,465,585,515,0.9113952784,545,-1,500,-1,-1,-1,-1,0.8463,1.0449,-1.0659,-1.6289,0.6721
18,711342,120000.0,2014-01-01,6/1/14 0:00,Data Entry Operator,Gurgaon,M,1992-12-07,65.0,State Board,2008.0,64.8,Icse,184,2,B.Tech/B.E.,Computer Science & Engineering,69.54,184,0,Uttar Pradesh,2013,465,495,515,0.5632678237,425,-1,-1,-1,-1,-1,-1,-0.159,0.3789,1.3933,-0.2344,1.4386
19,466888,325000.0,2014-09-01,Present,Software Engineer,Pune,F,1990-11-30,79.0,Cbse,2008.0,62.2,Cbse,7977,2,B.Tech/B.E.,Computer Engineering,76.3,7977,0,Uttar Pradesh,2012,485,445,435,0.8646854134,525,-1,-1,-1,-1,-1,-1,0.8192,0.2668,-0.2714,-0.4078,-0.1295
20,140069,320000.0,2010-11-01,9/1/12 0:00,Software Engineer,Bangalore,F,1988-07-25,91.2,Karnataka Secondary School Of Examination,2006.0,84.63,Karnataka Pre University Board,4437,2,B.Tech/B.E.,Computer Engineering,78.15,4437,0,Karnataka,2010,455,535,445,0.6359787565,445,-1,-1,-1,-1,-1,-1,-0.1082,0.9688,0.5269,-0.2902,0.3444
21,339689,200000.0,2012-08-01,12/1/13 0:00,Software Engineer,-1,F,1991-08-20,75.67,Up,2007.0,74.4,Up,11368,2,B.Tech/B.E.,Information Technology,74.01,11368,0,Uttar Pradesh,2012,385,555,445,0.6359787565,445,-1,-1,-1,-1,-1,-1,-1.0355,-0.5913,-1.3599,0.06223,-1.3539
24,963123,335000.0,2014-06-01,6/1/15 0:00,Programmer Analyst,Hyderabad,M,1993-06-28,88.0,State Board,2010.0,90.0,State Board,9173,2,B.Tech/B.E.,Computer Science & Engineering,76.0,9173,1,Telangana,2014,625,555,630,0.3565364877,475,-1,346,-1,-1,-1,-1,0.4155,0.8027,0.1357,-0.995,-0.6692
25,350211,435000.0,2012-09-01,Present,Systems Analyst,Gurgaon,F,1991-03-02,86.8,Cbse,2008.0,82.8,Cbse,9019,2,B.Tech/B.E.,Computer Science & Engineering,78.0,9019,0,Haryana,2012,575,585,575,0.744758354,565,-1,438,-1,-1,-1,-1,0.0464,1.2028,-0.9245,0.5323,-0.2875
26,65096,345000.0,2011-01-01,10/1/13 0:00,Senior Software Engineer,Bangalore,M,1988-02-05,90.88,Karnataka State Education Examination Board,2006.0,82.5,Dept Of Pre-University Education,124,2,B.Tech/B.E.,Computer Engineering,66.15,124,0,Orissa,2010,415,335,405,0.8841225116,535,333,-1,313,-1,-1,320,0.8192,0.1888,-1.7954,1.8249,1.1343
27,810458,300000.0,2014-09-01,1/1/15 0:00,Ase,Bangalore,M,1993-02-01,76.8,State Board,2009.0,83.0,State Board,64,2,B.Tech/B.E.,Electronics And Communication Engineering,76.44,64,0,Uttar Pradesh,2014,535,510,605,0.8816200695,-1,420,-1,-1,-1,-1,-1,0.99,1.3779,0.7785,-0.2344,-0.6692
28,918981,145000.0,2015-02-01,4/1/15 0:00,Telecommunication Engineer,Noida,M,1994-01-20,84.0,Cbse,2011.0,68.0,Cbse,76,2,B.Tech/B.E.,Electronics And Communication Engineering,72.0,76,0,Uttar Pradesh,2015,580,570,385,0.2073921697,335,260,-1,-1,-1,313,-1,0.1282,0.7119,1.3933,-0.3612,-0.0943
30,192703,530000.0,2011-12-01,Present,Systems Engineer,Hyderabad,M,1989-10-04,84.0,Ssc,2007.0,92.0,Bie,5003,2,B.Tech/B.E.,Computer Engineering,77.2,5003,0,Andhra Pradesh,2011,475,405,695,0.6707431514,455,-1,-1,-1,-1,-1,-1,-0.4173,0.6568,-0.0537,-1.2303,-0.9194
31,1094324,340000.0,2014-08-01,4/1/15 0:00,Software Engineer,Bangalore,M,1992-10-23,77.2,State Board,2010.0,86.1,State Board,7282,2,B.Tech/B.E.,Computer Science & Engineering,71.0,7282,0,Tamil Nadu,2014,560,485,450,0.6226429158,485,-1,407,-1,-1,-1,-1,-0.0154,1.2114,1.0859,-1.5021,0.2889
32,580616,360000.0,2013-10-01,Present,Application Developer,Noida,F,1991-09-14,87.0,Cbse,2009.0,84.4,Cbse,8195,1,B.Tech/B.E.,Computer Engineering,79.3,8195,1,Delhi,2013,570,475,295,0.4138382558,385,-1,-1,-1,-1,-1,-1,-0.7335,-0.4536,-1.0659,1.1601,-0.4776
33,1208010,145000.0,2014-10-01,Present,Ios Developer,Kolkata,M,1992-01-07,73.0,State Board,2010.0,68.4,State Board,8297,2,B.Tech/B.E.,Information Technology,74.3,8297,1,West Bengal,2014,560,530,605,0.9113952784,445,-1,500,-1,-1,-1,-1,-0.7335,0.5454,-0.7585,-0.6147,1.4386
